business_id,name,category_id,category,address,latitude,longitude,tel,rating
57f53ed7498e23279caaed8e,Txotx,13003,Bar,"Trondheimsveien 2, 0560 Oslo",59.919337,10.759947,921 69 062,9.1
4d6803f3709bb60c63f9b014,Le Benjamin Bar & Bistro,13148,French Restaurant,"Søndre gate 6 (mellom Markveien & Thorvald Meyers gate), 0550 Oslo",59.91875,10.758048,22 35 79 44,9.4
547a5140498e356dc652cfb7,Territoriet,13025,Wine Bar,"Markveien 58, 0550 Oslo",59.918887,10.75756,950 23 894,8.8
4bd1eaae77b29c74bb8f8d82,Glød,13003,Bar,"Thorvald Meyers gate 70 A (Korsgata), 0552 Oslo",59.920272,10.759572,930 03 674,8.2
5547ba21498e3c063aa9a7ba,Bd57,13006,Beer Bar,"Markveien 57, 0550 Oslo",59.91991,10.757172,923 11 315,8.4
4b226c22f964a5209d4624e3,Dr. Kneipp's Wine Bar,13025,Wine Bar,"Torvbakkgata 12 (Markveien), 0550 Oslo",59.919775,10.757134,22 37 22 97,8.4
4ca60fcf931bb60c27a18fe2,Schouskjelleren Mikrobryggeri,13003,Bar,"Trondheimsveien 2 (Thorvald Meryers Gate), 0560 Oslo",59.918476,10.760719,21 38 39 30,8.3
4b51e2f1f964a520b75927e3,Tim Wendelboe,13034,Café,"Grüners gate 1 (Fossveien), 0552 Oslo",59.923354,10.755776,400 04 062,9.1
56f5236ccd10c43c4671a28b,Way Down South,13026,BBQ Joint,"Waldemar Thranes gate 71a (behind Jakobs kirke/DogA), 0182 Oslo",59.919114,10.754837,902 26 090,8.6
4d82438746fd6ea8713b6f02,Trattoria Popolare,13236,Italian Restaurant,"Trondheimsveien 2, 0560 Oslo",59.918664,10.761451,21 38 39 30,8.3
5552449c498e387912e97ec7,Nedre Foss Gård,13336,Scandinavian Restaurant,"Nordre gate 2, 0551 Oslo",59.922199,10.753905,458 19 693,8.9
50c9de0be4b0b713c476623f,Crowbar & Bryggeri,13003,Bar,"Torggata 32, 0183 Oslo",59.91711,10.753327,21 38 67 57,9.1
4b0588b4f964a520d1d422e3,Parkteatret Scene,10042,Opera House,"Olaf Ryes plass 11 (Gruners gate), 0552 Oslo",59.923561,10.758434,22 35 63 00,8.5
4caf482def1b37043c203100,Grünerløkka Brygghus,13018,Pub,"Thorvald Meyers gate 30 B, 0555 Oslo",59.925125,10.759368,966 22 831,8.9
