name,latitude,longitude,free bikes
Lille Schous plass,59.920259,10.760629,6
Sjølyst,59.921673,10.67666,15
Tøyenparken,59.915667,10.7775665,4
Lindern,59.9358883,10.7350062,0
Uelands gate,59.929545,10.7489862,10
Kontraskjæret,59.910242,10.73857,0
Sinsenveien,59.929542,10.781053,1
Tannlegehøyskolen,59.932383,10.741475,0
Myraløkka Øst,59.937205,10.7605813,0
Jess Carlsens gate,59.9186359,10.7523939,14
Mandalls gate,59.9123469,10.7638147,10
Jordalgata,59.908227,10.781088,4
Meltzers gate,59.9180141,10.7184345,2
Studenterlunden,59.914586,10.735453,7
Skovveien,59.9163309,10.716349,1
Kirkegata 15,59.91015615055511,10.743456971511705,10
Ullevålsveien,59.9246852,10.7395045,2
Sofienberggata,59.9212063,10.7699892,12
Frøen T-bane,59.9347352,10.7096985,0
Furulund,59.9198098,10.651118,4
Gaustad T-bane,59.945955,10.710392,0
Huitfeldts gate,59.9126844,10.7229003,16
Oscars gate,59.9224222,10.7272388,2
Fram-gården,59.915424,10.714577,3
Hallénparken,59.9315302,10.762169,1
Torshovparken vest,59.93507,10.76915,5
Hausmanns gate,59.915451,10.758328,19
Nydalen,59.952868,10.766483,0
Rådhusgata,59.910924,10.736215,35
Suhms gate,59.929419,10.726195,2
Majorstuveien,59.926697,10.716195,4
Edvard Storms gate,59.919111,10.736179,0
Chr. Michelsens Gate,59.927292,10.773185,5
Grünerhagen Nord,59.9224256,10.7554274,20
Jakob kirke,59.917866,10.754898,7
Grønlands torg,59.91252,10.76224,15
Sørvest for Slottsparken,59.915262,10.7253157,6
Uranienborgparken,59.922485,10.720896,9
Munkedamsveien,59.9135227,10.7301061,17
Vulkan,59.92251,10.75101,16
Stensgata,59.92958561753996,10.732839000000013,3
Ensjø T-bane,59.9131891,10.7897605,7
Sognsveien,59.94743324225673,10.732569703704815,0
Fysikkbygningen,59.937957367051965,10.719488529430388,0
Sinsen T-bane,59.938863086921295,10.780603250331886,0
Hasle Torg,59.923240042155456,10.792831438028703,4
HasleLinje,59.92763407981436,10.799249379762283,8
Bjølsendumpa,59.94032925181832,10.766136667493829,4
Galgeberg,59.90707579234818,10.779164402446728,6
Botanisk Hage sør,59.915417698024385,10.76933022142641,18
Skøyen,59.92226850808104,10.679579749668129,11
Kirkeveien,59.93347989334691,10.726294394131088,15
Gimle Kino,59.91728078292675,10.708375798767435,17
Hallings gate,59.922777,10.738655,0
Sentrum Scene,59.91546786564256,10.751140873016311,21
Arendalsgata,59.9378,10.7541,3
Badebakken,59.94558091179507,10.760323881579982,5
Bentsebrugata,59.93923,10.75917,0
Pilestredet Studenthus,59.9205528,10.7342854,3
Frogner Stadion,59.92753764682686,10.710262803261259,11
Paléhaven,59.910331,10.75011,23
Langkaia,59.9080552,10.7479977,12
Uranienborgveien,59.9200421,10.726634,1
Majorstuen T-bane,59.92985724219502,10.714566236770679,0
Storo Storsenter,59.94671044754387,10.773805285879131,16
Norsk Folkemuseum,59.907674,10.686843,6
Colbjørnsens gate,59.91731888534716,10.716909039918278,7
Botanisk hage sør-vest,59.91783548782385,10.766373769557958,25
Finnmarksgata,59.922839,10.775658,15
Aker Brygge 1 mot Nasjonalmuseet,59.91118372188379,10.730034556850455,18
Kværnerveien,59.90591083488326,10.778592132296495,6
Olaf Ryes plass,59.922425,10.758182,31
Kværnerbyen,59.904473,10.786167,30
Frogner plass,59.9225392,10.7045406,6
Carl Berners plass sør,59.92507,10.775996,1
Trondheimsveien,59.9230577,10.7717192,10
Ullevål sykehus,59.9360307,10.7364516,1
Frognerstranda,59.9103558,10.7051061,10
Bak Niels Treschows hus sør,59.94247260310697,10.723715245368956,0
Kjeld Stubs gate,59.912711,10.735595,6
Thomas Heftyes plass,59.918578143336774,10.703899530059402,24
Thereses gate,59.9261462,10.7310355,1
Stensparken,59.92714,10.730981,0
Birkelunden,59.9256113,10.760926,5
Parkveien,59.921768,10.730476,0
Friggfeltet,59.9327726,10.7114661,0
Pilestredet 63,59.9238826,10.7313627,3
Bjerregaards gate,59.925488,10.746058,7
Annette Thommessens Plass,59.9107393,10.7609998,6
BI Nydalen,59.949239,10.768576,0
Arkaden Sør,59.9119691,10.7478583,32
Frognerbadet,59.92808,10.708767,5
Lille Grensen,59.9138973,10.7423101,2
Professor Aschehougs plass,59.9147672,10.740971,1
Blindern studentparkering,59.940873733543725,10.720778851520523,8
Filipstadveien,59.9102277,10.7208788,19
Dyvekes bru,59.905323,10.7689579,12
Studentparlamentet,59.920852,10.733357,2
Carl Berners plass nord,59.926929,10.776971,0
Hesselbergs Gate,59.92774803110845,10.761265771390583,12
Bak Niels Treschows hus nord,59.942780248542554,10.722993731144015,0
Domus Athletica,59.946219381760216,10.724626314653563,0
Bjørvika,59.909006,10.75618,19
Botanisk Hage vest,59.92012811804052,10.768875408563598,11
Marcus Thranes gate,59.93277225626508,10.758594919923468,2
Olav Kyrres plass,59.9193337,10.6968953,15
John Colletts plass,59.940398,10.730036,1
Tøyen skole,59.914943,10.773977,11
Bjølsen Studentby,59.943777539367225,10.760121127577955,18
Schous plass,59.920335,10.760804,16
AHO,59.925265,10.750462,20
Hydroparken,59.914145,10.715505,18
Krebs' gate,59.935995,10.765413,0
Skillebekk,59.912793405455375,10.710103028570302,15
Sotahjørnet,59.9099822,10.7914482,1
Vippetangen øst,59.903989,10.741077,0
Bogstadveien,59.924732,10.724628,0
Henrik Wergelands allé,59.9268942,10.7207894,4
Hedmarksgata,59.91178403655783,10.783884345957915,1
Colletts gate,59.93068679863987,10.746273349149249,1
Saga Kino,59.91424026794647,10.732771354719745,28
Klingenberggata,59.913150534075015,10.732281291700133,13
Arkaden Nord,59.9121472,10.7480527,4
Rostockgata,59.90691970255054,10.760311802881915,18
Økern Portal,59.930903961728745,10.80193969590286,8
Lørenporten,59.928710966693274,10.799914801820819,0
Sommerfrydhagen,59.911453,10.776072,11
The Hub,59.912522370233745,10.750910185807754,13
Biskop Gunnerus' gate,59.9123341,10.752292,8
Via Vika,59.91271286014364,10.727170827087008,8
Marienlyst,59.932432498521095,10.721762294477472,3
Stjerneplassen,59.91323316606503,10.749958763650312,14
Krohgstøtten hospital,59.91629601075576,10.757376666842816,12
Anker Hotel,59.9172794,10.7581553,10
Jens Bjelkes Gate,59.91914743024347,10.76412958416006,18
Sjøsiden 2 ved fontenen,59.910180852633516,10.751698750995615,30
Adamstuen,59.932792,10.734457,7
Hans Nielsen Hauges plass,59.939244,10.774319,4
Blindern Studenthus,59.93522040770026,10.726476622250004,0
Alexander Kiellands Plass,59.92806670615684,10.751202636819613,23
Oslo Hospital,59.90321254732584,10.7673442932541,15
Over Rådhusgata,59.9101207,10.7407129,19
Sukkerbiten,59.905124380703484,10.753763553726515,30
Nybrua holdeplass,59.916544926082935,10.757428972017067,12
Colosseum Kino,59.92984300295666,10.711284727205708,0
Jenny Braatens Plass,59.928349,10.77837,0
Briskeby,59.920218,10.717978,6
Borgenveien,59.942742106473666,10.703833031254021,0
Vippetangen vest,59.903989,10.740627,0
Tjuvholmen,59.909467,10.722509,9
Sagene bussholdeplass,59.937743,10.751648,0
Thune,59.92208,10.68588,7
Universitetsgata,59.91591543378553,10.737834990277321,0
OsloMet,59.919927,10.735428,0
Bøkkerveien,59.9273747,10.7960147,3
Ullevålsalléen,59.937913,10.73048,0
Mailundveien,59.9309181,10.7728203,0
Vår Frelsers gravlund,59.91944043984847,10.7437646218726,2
Hausmanns bru,59.9146509,10.7598719,23
Grenseveien,59.92464487862039,10.781726510450724,1
Tiedemannsparken,59.92024767905539,10.793540704010042,1
Huk 1,59.89853221724158,10.674403950323182,14
Huk 2,59.89843428245928,10.674398461025874,24
Pilestredet,59.9262242,10.7296246,0
Helga Helgesens plass,59.9121109,10.7661939,23
Lodalen busstopp,59.9034528,10.777958,9
Jernbanetorget,59.911901,10.749929,12
Vålerenga,59.908576,10.786856,2
Trelastgata,59.908004655328924,10.7625700380287,12
Henrik Ibsens gate,59.915088,10.7222803,11
Skippergata,59.9112227,10.7481976,29
Tøyenbekken,59.9115945,10.7617736,12
Bygdøy allé,59.919001,10.692321,12
Maritimt Museum,59.902942924651484,10.698048967006343,14
Landstads gate,59.929005,10.7496755,9
Sirkustomta,59.919252,10.774712,5
Georg Morgenstiernes hus,59.939025551395765,10.723002619643406,4
Stortingstunellen,59.91065301806209,10.737365277561025,18
Marienlystparken,59.93215,10.723478,1
Frognerveien,59.9170851,10.7128796,3
Lørenveien,59.93087712510462,10.791823716034969,0
Akerselvallmenningen,59.90725889890288,10.754884663589621,5
Hammersborg Torg,59.91652053839767,10.749202233135232,12
Bjerregaardsgate Øst,59.92716771401357,10.749754560118863,13
Lakkegata,59.9172088,10.7622135,18
Stavangergata,59.94114763297182,10.750775120272449,16
Tåsen Senter,59.952659,10.751165,5
Fredensborg,59.920995,10.750358,14
Linaaes gate,59.91382393242077,10.745704482209018,6
Gunerius,59.91459878869395,10.753398500006654,11
Sofienbergparken sør,59.922337,10.7617503,12
